Fetching OPEN conversations (default)...
  skip=10200 got=100 runningTotal=10300 reportedCount=999
  skip=10300 got=100 runningTotal=10400 reportedCount=999
  skip=10400 got=100 runningTotal=10500 reportedCount=999
  skip=10500 got=100 runningTotal=10600 reportedCount=999
  skip=10600 got=100 runningTotal=10700 reportedCount=999
  skip=10700 got=100 runningTotal=10800 reportedCount=999
  skip=10800 got=100 runningTotal=10900 reportedCount=999
  skip=10900 got=100 runningTotal=11000 reportedCount=999
  skip=11000 got=100 runningTotal=11100 reportedCount=999
  skip=11100 got=100 runningTotal=11200 reportedCount=999
  429 rate limited, waiting 28s...
  skip=11200 got=100 runningTotal=11300 reportedCount=999
  skip=11300 got=100 runningTotal=11400 reportedCount=999
  skip=11400 got=100 runningTotal=11500 reportedCount=999
  skip=11500 got=100 runningTotal=11600 reportedCount=999
  skip=11600 got=100 runningTotal=11700 reportedCount=999
  skip=11700 got=100 runningTotal=11800 reportedCount=999
  skip=11800 got=100 runningTotal=11900 reportedCount=999
  skip=11900 got=100 runningTotal=12000 reportedCount=999
  skip=12000 got=100 runningTotal=12100 reportedCount=999
  skip=12100 got=100 runningTotal=12200 reportedCount=999
  429 rate limited, waiting 27s...
  skip=12200 got=100 runningTotal=12300 reportedCount=999
  skip=12300 got=100 runningTotal=12400 reportedCount=999
  skip=12400 got=100 runningTotal=12500 reportedCount=999
  skip=12500 got=100 runningTotal=12600 reportedCount=999
  skip=12600 got=100 runningTotal=12700 reportedCount=999
  skip=12700 got=100 runningTotal=12800 reportedCount=999
  skip=12800 got=100 runningTotal=12900 reportedCount=999
  skip=12900 got=100 runningTotal=13000 reportedCount=999
  skip=13000 got=100 runningTotal=13100 reportedCount=999
  skip=13100 got=100 runningTotal=13200 reportedCount=999
  429 rate limited, waiting 28s...
  skip=13200 got=100 runningTotal=13300 reportedCount=999
  skip=13300 got=100 runningTotal=13400 reportedCount=999
  skip=13400 got=100 runningTotal=13500 reportedCount=999
  skip=13500 got=100 runningTotal=13600 reportedCount=999
  skip=13600 got=100 runningTotal=13700 reportedCount=999
  skip=13700 got=92 runningTotal=13792 reportedCount=999
DONE. unique conversations: 13792 (open: 13792 , closed: 13792 )
